mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0	
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	0	Ro-						
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	1							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	2							
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	3							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	4							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	5							
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	6	ra-						
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	7	te,						
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	8	ro-						
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	9	ra-						
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	10	te						
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	11							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	12							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	13							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	14							
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	15	coe-						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	16	li						
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	17							
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	18							
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	19							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	20							
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	21							
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	22							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	23							
4	4	12	12	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	24	de-						
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	25	su-						
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	26	per						
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	27	et						
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	28							
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	29							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	30							
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	31	nu-						
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	32	bes						
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	33	plu-						
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	34	ant						
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	35	ju-						0
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	36							0
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	37							0
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	38							0
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	39							
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	40							
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	41							
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	42	6						
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	43							0
