mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	4/4	6	1	g.i		g	i		i	i							m	1	1	0, -3, 1		0	0
2	2	4	4	4.0	0	0	4/4	6	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
3	3	8	8	2.0	0	0	4/4	6	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
3	3	10	10	1.0	1/2	1/2	4/4	6	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
3	3	11	11	1.0	3/4	3/4	4/4	6	1	VI	iv6	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
4	4	12	12	4.0	0	0	4/4	6	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
5	5	16	16	2.0	0	0	4/4	6	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
5	5	18	18	1.0	1/2	1/2	4/4	6	1	V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
5	5	19	19	1.0	3/4	3/4	4/4	6	1	VII\\		g	i		VII	VII						\\	M	1	1	-2, 2, -1		-2	-2
6	6	20	20	1.0	0	0	4/4	6	1	V/III		g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
6	6	21	21	1.0	1/4	1/4	4/4	6	1	V(64)/III		g	i		V(64)/III	V			64	III			M	1	1	-2, -3, 1		-2	-2
6	6	22	22	1.0	1/2	1/2	4/4	6	1	V(4)/III		g	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
6	6	23	23	1.0	3/4	3/4	4/4	6	1	V/III		g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
7	7	24	24	2.0	0	0	4/4	6	1	III\\		g	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
7	7	26	26	1.0	1/2	1/2	4/4	6	1	IV/III		g	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
7	7	27	27	1.0	3/4	3/4	4/4	6	1	IV6/III	vi/III	g	i		IV6/III	IV		6		III			M	1	1	0, -3, -4		-4	0
