mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.0	0	4/4	1	0					firstMeasure	2
2	2	4	4.0	0	4/4	1	0						3
3	3	8	4.0	0	4/4	1	0						4
4	4	12	4.0	0	4/4	1	0						5
5	5	16	4.0	0	4/4	1	0						6
6	6	20	4.0	0	4/4	1	0			double			7
7	7	24	6.0	0	3/2	3/2	0						8
8	8	30	6.0	0	3/2	3/2	0						9
9	9	36	6.0	0	3/2	3/2	0						10
10	10	42	6.0	0	3/2	3/2	0			double			11
11	11	48	4.0	0	4/4	1	0						12
12	12	52	4.0	0	4/4	1	0						13
13	13	56	4.0	0	4/4	1	0						14
14	14	60	4.0	0	4/4	1	0						15
15	15	64	4.0	0	4/4	1	0						16
16	16	68	4.0	0	4/4	1	0						17
17	17	72	4.0	0	4/4	1	0						18
18	18	76	4.0	0	4/4	1	0						19
19	19	80	4.0	0	4/4	1	0						20
20	20	84	4.0	0	4/4	1	0			double			21
21	21	88	6.0	0	3/2	3/2	0						22
22	22	94	6.0	0	3/2	3/2	0						23
23	23	100	6.0	0	3/2	3/2	0						24
24	24	106	6.0	0	3/2	3/2	0			double			25
25	25	112	4.0	0	4/4	1	0						26
26	26	116	4.0	0	4/4	1	0						27
27	27	120	4.0	0	4/4	1	0						28
28	28	124	4.0	0	4/4	1	0						29
29	29	128	4.0	0	4/4	1	0						30
30	30	132	4.0	0	4/4	1	0						31
31	31	136	4.0	0	4/4	1	0						32
32	32	140	4.0	0	4/4	1	0						33
33	33	144	4.0	0	4/4	1	0						34
34	34	148	4.0	0	4/4	1	0				line		35
35	35	152	4.0	0	4/4	1	0						36
36	36	156	4.0	0	4/4	1	0						37
37	37	160	4.0	0	4/4	1	0						38
38	38	164	4.0	0	4/4	1	0						39
39	39	168	4.0	0	4/4	1	0						40
40	40	172	4.0	0	4/4	1	0						41
41	41	176	4.0	0	4/4	1	0						42
42	42	180	4.0	0	4/4	1	0						43
43	43	184	4.0	0	4/4	1	0						44
44	44	188	4.0	0	4/4	1	0						45
45	45	192	4.0	0	4/4	1	0						46
46	46	196	4.0	0	4/4	1	0						47
47	47	200	4.0	0	4/4	1	0						48
48	48	204	4.0	0	4/4	1	0						49
49	49	208	4.0	0	4/4	1	0						50
50	50	212	4.0	0	4/4	1	0						51
51	51	216	4.0	0	4/4	1	0						52
52	52	220	4.0	0	4/4	1	0						53
53	53	224	4.0	0	4/4	1	0						54
54	54	228	4.0	0	4/4	1	0				line		55
55	55	232	4.0	0	4/4	1	0						56
56	56	236	4.0	0	4/4	1	0						57
57	57	240	4.0	0	4/4	1	0						58
58	58	244	4.0	0	4/4	1	0						59
59	59	248	4.0	0	4/4	1	0						60
60	60	252	4.0	0	4/4	1	0						61
61	61	256	4.0	0	4/4	1	0			double			62
62	62	260	6.0	0	3/2	3/2	0						63
63	63	266	6.0	0	3/2	3/2	0						64
64	64	272	6.0	0	3/2	3/2	0						65
65	65	278	6.0	0	3/2	3/2	0						66
66	66	284	6.0	0	3/2	3/2	0						67
67	67	290	6.0	0	3/2	3/2	0						68
68	68	296	6.0	0	3/2	3/2	0			double			69
69	69	302	4.0	0	4/4	1	0						70
70	70	306	4.0	0	4/4	1	0						71
71	71	310	4.0	0	4/4	1	0						72
72	72	314	4.0	0	4/4	1	0						73
73	73	318	4.0	0	4/4	1	0				line		74
74	74	322	4.0	0	4/4	1	0						75
75	75	326	4.0	0	4/4	1	0						76
76	76	330	4.0	0	4/4	1	0						77
77	77	334	4.0	0	4/4	1	0						78
78	78	338	4.0	0	4/4	1	0						79
79	79	342	4.0	0	4/4	1	0						80
80	80	346	4.0	0	4/4	1	0						81
81	81	350	4.0	0	4/4	1	0						82
82	82	354	4.0	0	4/4	1	0						83
83	83	358	4.0	0	4/4	1	0						84
84	84	362	4.0	0	4/4	1	0						85
85	85	366	4.0	0	4/4	1	0						86
86	86	370	4.0	0	4/4	1	0			end		lastMeasure	-1
