mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	4/4	3	1	1	1	1	1	2	50		1
1	1	0	0	4/4	1	1	1	1	1		3	57		0
2	2	0	0	4/4	3	1	1	1	1	-1	2	50		3
2	2	0	0	4/4	1	1	1	1	1		-1	53		2
3	3	0	0	4/4	3	1	1	1	1		7	49		6
3	3	0	0	4/4	2	1	1	1	1		3	57		5
3	3	3/4	3/4	4/4	1	1	1/4	1/4	1		3	57		4
4	4	0	0	4/4	3	1	1	1	1	1	2	50		13
4	4	0	0	4/4	2	1	1/2	1/2	1		-1	53		11
4	4	0	0	4/4	1	1	1/4	1/4	1		3	57		7
4	4	1/4	1/4	4/4	1	1	1/8	1/8	1		3	57		8
4	4	3/8	3/8	4/4	1	1	1/8	1/8	1		3	57		9
4	4	1/2	1/2	4/4	1	1	1/2	1/2	1	1	3	57		10
4	4	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	53		12
5	5	0	0	4/4	3	1	1/2	1/2	1	-1	2	50		22
5	5	0	0	4/4	2	1	1/4	1/4	1		-1	53		17
5	5	0	0	4/4	1	1	1/4	1/4	1	-1	3	57		14
5	5	1/4	1/4	4/4	2	1	1/8	1/8	1		-1	53		18
5	5	1/4	1/4	4/4	1	1	1/4	1/4	1		3	57		15
5	5	3/8	3/8	4/4	2	1	1/8	1/8	1		-1	53		19
5	5	1/2	1/2	4/4	3	1	1/2	1/2	1		2	50		23
5	5	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53		20
5	5	1/2	1/2	4/4	1	1	1/2	1/2	1	1	-2	58		16
5	5	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	53		21
6	6	0	0	4/4	3	1	1/2	1/2	1	1	0	48		29
6	6	0	0	4/4	2	1	1/2	1/2	1		1	55		26
6	6	0	0	4/4	1	1	1/2	1/2	1	-1	-2	58		24
6	6	1/2	1/2	4/4	3	1	1/4	1/4	1	0	0	48		30
6	6	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52		27
6	6	1/2	1/2	4/4	1	1	1/2	1/2	1		3	57		25
