mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	g.i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	1	5	0.16666666666666666	0.25	3.75	0.0625
3	3	0	0	4/4	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	2	0.0	0.0	1.5	0.0
3	3	1/2	1/2	4/4	3	1	V(64)	-0.9	-2.5	/		g	i		V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	0	1	0.0	0.0	0.5	0.0
4	4	0	0	4/4	3	1	V(4)					g	i		V(4)	V			4				M	1	1	2, 1, 3		2.0	2.0	0	2	0.0	0.0	1.5	0.0
4	4	1/2	1/2	4/4	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	1	0.0	0.0	0.5	0.0
5	5	0	0	4/4	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	2.0	0.0
6	6	0	0	4/4	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	1	3	0.25	0.125	0.875	0.125
6	6	1/2	1/2	4/4	3	1	V6/IV					g	i		V6/IV	V		6		IV			M	1	1	5, 2, 1		1.0	5.0	0	2	0.0	0.0	1.0	0.0
7	7	0	0	4/4	3	1	IV					g	i		IV	IV							M	1	1	0, 4, 1		0.0	0.0	1	4	0.2	0.125	0.875	0.125
7	7	1/2	1/2	4/4	3	1	V6/v					g	i		V6/v	V		6		v			M	1	1	7, 4, 3		3.0	7.0	0	3	0.0	0.0	1.0	0.0
8	8	0	0	4/4	3	1	v					g	i		v	v							m	1	1	2, -1, 3		2.0	2.0	1	3	0.25	0.125	0.875	0.125
8	8	1/2	1/2	4/4	3	1	V6/VI					g	i		V6/VI	V		6		VI			M	1	1	2, -1, -2		-2.0	2.0	0	2	0.0	0.0	1.0	0.0
9	9	0	0	4/4	3	1	VI					g	i		VI	VI							M	1	1	-3, 1, -2		-3.0	-3.0	1	4	0.2	0.125	0.875	0.125
9	9	1/2	1/2	4/4	3	1	V6/VII					g	i		V6/VII	V		6		VII			M	1	1	4, 1, 0		0.0	4.0	0	3	0.0	0.0	1.0	0.0
10	10	0	0	4/4	3	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.75	0.0
10	10	1/2	1/2	4/4	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	1.0	0.0
11	11	0	0	4/4	3	1	V(4)/III					g	i		V(4)/III	V			4	III			M	1	1	-1, -2, 0		-1.0	-1.0	0	2	0.0	0.0	1.25	0.0
11	11	1/4	1/4	4/4	3	1	V/III					g	i		V/III	V				III			M	1	1	-1, 3, 0		-1.0	-1.0	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
12	12	0	0	4/4	3	1	III\\					g	i		III	III						\\	M	1	1	-2, 2, -1		-2.0	-2.0	0	2	0.0	0.0	2.0	0.0
13	13	0	0	4/4	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	1	6	0.14285714285714285	0.25	4.75	0.05
15	15	0	0	4/4	3	1	V(6)					g	i		V(6)	V			6				M	1	1	2, 6, -2		2.0	2.0	0	3	0.0	0.0	2.0	0.0
15	15	1/2	1/2	4/4	3	1	V(64)					g	i		V(64)	V			64				M	1	1	2, 1, -2		2.0	2.0	1	2	0.3333333333333333	0.25	0.75	0.25
16	16	0	0	4/4	3	1	V(4)					g	i		V(4)	V			4				M	1	1	2, 1, 3		2.0	2.0	0	3	0.0	0.0	2.0	0.0
16	16	1/2	1/2	4/4	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	2	0.0	0.0	1.0	0.0
17	17	0	0	4/4	3	1	i\\					g	i		i	i						\\	m	1	1	1, -2, 2		1.0	1.0	0	3	0.0	0.0	3.0	0.0
18	18	0	0	4/4	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	1	3	0.25	0.125	0.875	0.125
18	18	1/2	1/2	4/4	3	1	V6/IV					g	i		V6/IV	V		6		IV			M	1	1	5, 2, 1		1.0	5.0	1	4	0.2	0.125	1.375	0.08333333333333333
19	19	0	0	4/4	3	1	IV					g	i		IV	IV							M	1	1	0, 4, 1		0.0	0.0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
19	19	1/2	1/2	4/4	3	1	V65/v					g	i		V65/v	V		65		v			Mm7	1	1	7, 4, 1, 3		3.0	7.0	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
20	20	0	0	4/4	3	1	v					g	i		v	v							m	1	1	2, -1, 3		2.0	2.0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
20	20	1/2	1/2	4/4	3	1	V6/VI					g	i		V6/VI	V		6		VI			M	1	1	2, -1, -2		-2.0	2.0	1	4	0.2	0.125	1.375	0.08333333333333333
21	21	0	0	4/4	3	1	VI					g	i		VI	VI							M	1	1	-3, 1, -2		-3.0	-3.0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
21	21	1/2	1/2	4/4	3	1	V65/VII					g	i		V65/VII	V		65		VII			Mm7	1	1	4, 1, -2, 0		0.0	4.0	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
22	22	0	0	4/4	3	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1.0	-1.0	0	4	0.0	0.0	1.25	0.0
22	22	1/2	1/2	4/4	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	0.75	0.0
22	22	3/4	3/4	4/4	3	1	IV/III					g	i		IV/III	IV				III			M	1	1	-3, 1, -2		-3.0	-3.0	0	3	0.0	0.0	0.75	0.0
23	23	0	0	4/4	3	1	V(4)/III					g	i		V(4)/III	V			4	III			M	1	1	-1, -2, 0		-1.0	-1.0	0	3	0.0	0.0	2.25	0.0
23	23	1/4	1/4	4/4	3	1	V/III					g	i		V/III	V				III			M	1	1	-1, 3, 0		-1.0	-1.0	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
24	24	0	0	4/4	3	1	III\\					g	i		III	III						\\	M	1	1	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	3.0	0.0
25	25	0	0	4/4	3	1	v					g	i		v	v							m	1	1	2, -1, 3		2.0	2.0	0	2	0.0	0.0	0.75	0.0
25	25	1/2	1/2	4/4	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	0.75	0.0
25	25	3/4	3/4	4/4	3	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0.0	0.0	0	3	0.0	0.0	0.75	0.0
26	26	0	0	4/4	3	1	#viio6(2)					g	i		#viio6(2)	#vii	o	6	2				o	1	1	3, 0, 1		6.0	3.0	0	3	0.0	0.0	2.25	0.0
26	26	1/4	1/4	4/4	3	1	#viio6					g	i		#viio6	#vii	o	6					o	1	1	3, 0, 6		6.0	3.0	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
27	27	0	0	4/4	3	1	I\\					g	i		I	I						\\	M	1	1	1, 5, 2		1.0	1.0	0	3	0.0	0.0	3.0	0.0
28	28	0	0	3/2	3	1	V/VII					g	i		V/VII	V				VII			M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	2.5	0.0
29	29	0	0	3/2	3	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	1.0	0.0
