mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	5	1	d.i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	2.0	0.0
2	2	0	0	4/4	5	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	1.0	0.0
2	2	1/2	1/2	4/4	5	1	IV					d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	1.0	0.0
3	3	0	0	4/4	5	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	1.0	0.0
3	3	1/2	1/2	4/4	5	1	ii	0	-4.8	/	#viio6	d	i		ii	ii							m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	1.0	0.0
4	4	0	0	4/4	5	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	2.0	0.0
5	5	0	0	4/4	5	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	2	5	0.2857142857142857	0.125	2.625	0.045454545454545456
6	6	0	0	4/4	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	1.5	0.0
6	6	1/2	1/2	4/4	5	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3	7	0	3	0.0	0.0	1.5	0.0
7	7	0	0	4/4	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	1.5	0.0
7	7	1/2	1/2	4/4	5	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	3	0.0	0.0	1.5	0.0
8	8	0	0	4/4	5	1	VI					d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	3	4	0.42857142857142855	0.1875	2.5625	0.06818181818181818
9	9	0	0	4/4	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	1.5	0.0
9	9	1/2	1/2	4/4	5	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	2	4	0.3333333333333333	0.125	1.125	0.1
10	10	0	0	4/4	5	1	v6					d	i		v6	v		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	1.5	0.0
10	10	1/2	1/2	4/4	5	1	#viio6/v					d	i		#viio6/v	#vii	o	6		v			o	1	1	5, 2, 8		8	5	2	5	0.2857142857142857	0.125	1.625	0.07142857142857142
11	11	0	0	4/4	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	2.0	0.0
11	11	1/2	1/2	4/4	5	1	V6/v					d	i		V6/v	V		6		v			M	1	1	8, 5, 4		4	8	2	5	0.2857142857142857	0.125	1.625	0.07142857142857142
12	12	0	0	4/4	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	2.0	0.0
12	12	1/2	1/2	4/4	5	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	2	5	0.2857142857142857	0.125	1.625	0.07142857142857142
13	13	0	0	4/4	5	1	v6					d	i		v6	v		6					m	1	1	0, 4, 3		3	0	2	6	0.25	0.125	2.125	0.05555555555555555
13	13	1/2	1/2	4/4	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	6	0.0	0.0	2.5	0.0
14	14	0	0	4/4	5	1	V(4)/v					d	i		V(4)/v	V			4	v			M	1	1	4, 3, 5		4	4	0	5	0.0	0.0	2.5	0.0
14	14	1/2	1/2	4/4	5	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	0	5	0.0	0.0	2.5	0.0
15	15	0	0	4/4	5	1	v\\				V\\	d	i		v	v						\\	m	1	1	3, 0, 4		3	3	2	7	0.2222222222222222	0.125	4.625	0.02631578947368421
16	16	0	0	4/4	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	1.0	0.0
16	16	1/2	1/2	4/4	5	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	1.125	0.1
17	17	0	0	4/4	5	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	1.5	0.0
17	17	1/2	1/2	4/4	5	1	#viio6					d	i		#viio6	#vii	o	6					o	1	1	4, 1, 7		7	4	2	5	0.2857142857142857	0.125	1.625	0.07142857142857142
18	18	0	0	4/4	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	2.0	0.0
