mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	6	1	g.i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	9	0.0	0.0	6.0	0.0
3	3	0	0	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	1.75	0.0
3	3	1/2	1/2	4/4	6	1	III		g	i		III	III							M	1	1	-2, 2, -1		-2	-2	0	3	0.0	0.0	1.25	0.0
4	4	0	0	4/4	6	1	VII(4)		g	i		VII(4)	VII			4				M	1	1	-1, -2, 0		-1	-1	0	3	0.0	0.0	1.0	0.0
4	4	1/4	1/4	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.75	0.0
4	4	1/2	1/2	4/4	6	1	i(9)		g	i		i(9)	i			9				m	1	1	1, -2, 2	3	1	1	0	2	0.0	0.0	0.75	0.0
4	4	3/4	3/4	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.5	0.0
5	5	0	0	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	8	0.0	0.0	2.75	0.0
6	6	0	0	4/4	6	1	V(6)		g	i		V(6)	V			6				M	1	1	2, 6, -2		2	2	0	5	0.0	0.0	1.5	0.0
6	6	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	1.5	0.0
7	7	0	0	4/4	6	1	ii6		g	i		ii6	ii		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	1.75	0.0
7	7	1/2	1/2	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	5	0.0	0.0	1.25	0.0
8	8	0	0	4/4	6	1	i\\	I\\	g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	2.25	0.0
9	9	0	0	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.5	0.0
9	9	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	9	0.0	0.0	3.25	0.0
10	10	1/2	1/2	4/4	6	1	v6		g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.75	0.0
10	10	3/4	3/4	4/4	6	1	v	III6	g	i		v	v							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
11	11	0	0	4/4	6	1	ii6/III		g	i		ii6/III	ii		6		III			m	1	1	-3, 1, 0		0	-3	0	3	0.0	0.0	1.0	0.0
11	11	1/4	1/4	4/4	6	1	V/III		g	i		V/III	V				III			M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.5	0.0
11	11	1/2	1/2	4/4	6	1	III\\		g	i		III	III						\\	M	1	1	-2, 2, -1		-2	-2	0	5	0.0	0.0	2.0	0.0
12	12	1/4	1/4	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	1.0	0.0
12	12	1/2	1/2	4/4	6	1	v6		g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
12	12	3/4	3/4	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
13	13	0	0	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	8	0.0	0.0	2.75	0.0
14	14	0	0	4/4	6	1	V(6)		g	i		V(6)	V			6				M	1	1	2, 6, -2		2	2	0	5	0.0	0.0	1.5	0.0
14	14	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	1.5	0.0
15	15	0	0	4/4	6	1	ii6		g	i		ii6	ii		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	1.75	0.0
15	15	1/2	1/2	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	5	0.0	0.0	1.25	0.0
16	16	0	0	4/4	6	1	i\\	I\\	g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	3.0	0.0
17	17	0	0	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	3	10	0.23076923076923078	0.375	4.125	0.08333333333333333
19	19	0	0	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	1.5	0.0
19	19	1/2	1/2	4/4	6	1	III		g	i		III	III							M	1	1	-2, 2, -1		-2	-2	2	3	0.4	0.25	1.25	0.16666666666666666
20	20	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	5	0.0	0.0	1.5	0.0
20	20	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
21	21	0	0	4/4	6	1	V\\		g	i		V	V						\\	M	1	1	2, 6, 3		2	2	0	8	0.0	0.0	2.625	0.0
