mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	5	1	g.i					g	i		i	i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	3.0	0.0
2	2	1/2	1/2	4/4	5	1	V6/III					g	i		V6/III	V		6		III			M	1	1	3, 0, -1		-1	3	0	2	0.0	0.0	1.0	0.0
3	3	0	0	4/4	5	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2	-2	0	2	0.0	0.0	1.0	0.0
3	3	1/2	1/2	4/4	5	1	IV					g	i		IV	IV							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	1.0	0.0
4	4	0	0	4/4	5	1	i					g	i		i	i							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	1.0	0.0
4	4	1/2	1/2	4/4	5	1	V/III					g	i		V/III	V				III			M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	1.0	0.0
5	5	0	0	4/4	5	1	III\\					g	i		III	III						\\	M	1	1	-2, 2, -1		-2	-2	0	10	0.0	0.0	5.5	0.0
7	7	1/2	1/2	4/4	5	1	iii/III					g	i		iii/III	iii				III			m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	1.75	0.0
8	8	0	0	4/4	5	1	V/III					g	i		V/III	V				III			M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	2.0	0.0
8	8	1/2	1/2	4/4	5	1	iii/III					g	i		iii/III	iii				III			m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	2.25	0.0
9	9	0	0	4/4	5	1	ii/III					g	i		ii/III	ii				III			m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	2.0	0.0
9	9	1/4	1/4	4/4	5	1	viio6/III					g	i		viio6/III	vii	o	6		III			o	1	1	0, -3, 3		3	0	0	2	0.0	0.0	0.5	0.0
9	9	1/2	1/2	4/4	5	1	III6					g	i		III6	III		6					M	1	1	2, -1, -2		-2	2	0	5	0.0	0.0	2.5	0.0
10	10	0	0	4/4	5	1	VIM7					g	i		VIM7	VI	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3	0	5	0.0	0.0	3.0	0.0
10	10	1/2	1/2	4/4	5	1	ii%43					g	i		ii%43	ii	%	43					%7	1	1	-3, 1, 3, 0		3	-3	0	5	0.0	0.0	2.0	0.0
11	11	0	0	4/4	5	1	V(6)					g	i		V(6)	V			6				M	1	1	2, 6, -2		2	2	0	5	0.0	0.0	4.0	0.0
11	11	1/2	1/2	4/4	5	1	V(64)					g	i		V(64)	V			64				M	1	1	2, 1, -2		2	2	0	2	0.0	0.0	1.0	0.0
12	12	0	0	4/4	5	1	v(4)					g	i		v(4)	v			4				m	1	1	2, 1, 3		2	2	0	4	0.0	0.0	2.75	0.0
12	12	1/4	1/4	4/4	5	1	v\\					g	i		v	v						\\	m	1	1	2, -1, 3		2	2	1	4	0.2	0.125	1.375	0.08333333333333333
13	13	0	0	4/4	5	1	VII6					g	i		VII6	VII		6					M	1	1	3, 0, -1		-1	3	0	3	0.0	0.0	1.5	0.0
13	13	1/2	1/2	4/4	5	1	iii/VII					g	i		iii/VII	iii				VII			m	1	1	3, 0, 4		3	3	1	4	0.2	0.25	1.75	0.125
14	14	0	0	4/4	5	1	V/VII					g	i		V/VII	V				VII			M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	2.0	0.0
14	14	1/2	1/2	4/4	5	1	iii/VII					g	i		iii/VII	iii				VII			m	1	1	3, 0, 4		3	3	1	5	0.16666666666666666	0.25	2.0	0.1111111111111111
15	15	0	0	4/4	5	1	ii/VII					g	i		ii/VII	ii				VII			m	1	1	1, -2, 2		1	1	0	5	0.0	0.0	2.0	0.0
15	15	1/4	1/4	4/4	5	1	viio6/VII					g	i		viio6/VII	vii	o	6		VII			o	1	1	1, -2, 4		4	1	0	2	0.0	0.0	0.5	0.0
15	15	1/2	1/2	4/4	5	1	VII6					g	i		VII6	VII		6					M	1	1	3, 0, -1		-1	3	0	5	0.0	0.0	2.5	0.0
16	16	0	0	4/4	5	1	VIM7/v					g	i		VIM7/v	VI	M	7		v			MM7	1	1	-2, 2, -1, 3		-2	-2	0	5	0.0	0.0	3.0	0.0
